@relation STORM_Dataset-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute NR numeric
@attribute LOC_Added numeric
@attribute Max_LOC_Added numeric
@attribute Avg_LOC_Added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Avg_Churn numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Bugginess {No,Yes}

@data
1,97,8,2,36,17,18,46,29,23,611,563,306,No
1,154,2,2,18,17,9,34,17,17,592,563,296,No
1,151,2,2,18,17,9,34,17,17,592,563,296,No
1,166,1,1,17,17,17,17,17,17,565,565,565,No
1,285,1,1,17,17,17,17,17,17,565,565,565,No
1,66,1,1,17,17,17,17,17,17,565,565,565,No
1,425,1,1,17,17,17,17,17,17,565,565,565,No
1,722,1,1,17,17,17,17,17,17,565,565,565,No
1,147,3,2,29,17,15,45,28,23,572,564,286,No
1,135,1,1,17,17,17,17,17,17,565,565,565,No
1,328,1,1,17,17,17,17,17,17,565,565,565,No
1,142,5,3,33,17,11,47,27,16,783,565,261,No
1,205,102,15,207,14,14,430,77,29,143,51,10,No
1,50,12,6,20,6,3,19,7,3,56,14,9,No
1,51,24,6,134,24,22,100,71,17,34,9,6,No
1,153,3,1,4,2,4,2,2,2,4,4,4,No
1,68,4,4,7,6,2,-9,0,-2,19,9,5,No
1,22,17,5,57,14,11,-23,9,-5,30,9,6,No
1,120,7,4,19,7,5,34,10,9,88,51,22,No
1,111,45,8,118,21,15,49,56,6,65,14,8,No
1,27,9,3,6,2,2,-10,0,-3,39,16,13,No
1,59,16,5,32,11,6,8,8,2,49,14,10,No
1,28,8,3,5,2,2,-13,0,-4,39,16,13,No
2,1022,544,45,1227,71,27,19613,681,436,2871,604,64,No
2,275,27,6,222,42,37,1045,201,174,1091,563,182,No
2,36,3,2,19,17,10,19,18,10,973,565,487,No
2,49,3,2,19,17,10,21,19,11,973,565,487,No
2,27,1,1,17,17,17,17,17,17,565,565,565,No
2,406,78,16,375,87,23,3713,296,232,1184,565,74,No
2,119,1,1,17,17,17,17,17,17,565,565,565,No
2,153,1,1,17,17,17,17,17,17,565,565,565,No
2,51,1,1,17,17,17,17,17,17,565,565,565,No
2,108,1,1,17,17,17,17,17,17,565,565,565,No
2,46,1,1,17,17,17,17,17,17,565,565,565,No
2,53,1,1,17,17,17,17,17,17,565,565,565,No
2,436,1,1,17,17,17,17,17,17,565,565,565,No
