@relation BOOKKEEPER_Dataset-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute NR numeric
@attribute LOC_Added numeric
@attribute Max_LOC_Added numeric
@attribute Avg_LOC_Added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Avg_Churn numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Bugginess {No,Yes}

@data
2,51,2,1,1,1,1,-1,0,-1,149,149,149,No
2,154,37,5,108,24,22,221,73,44,988,298,198,No
2,31,1,1,0,0,0,-2,0,-2,149,149,149,No
2,180,14,3,27,8,9,32,12,11,316,212,105,No
2,260,32,4,110,17,28,140,69,35,854,276,214,No
2,551,136,26,783,113,30,3998,342,154,1958,267,75,No
2,361,58,11,368,51,33,2092,323,190,1480,324,135,No
2,388,32,6,271,54,45,317,244,53,923,299,154,No
2,577,79,15,326,125,22,1798,249,120,1328,309,89,No
2,66,4,1,8,3,8,3,3,3,64,64,64,No
2,188,27,11,71,16,6,-27,9,-2,1018,298,93,No
2,582,41,9,78,11,9,175,45,19,1109,312,123,No
2,158,6,3,6,1,2,2,1,1,615,450,205,No
2,50,78,15,804,496,54,8254,688,550,1305,450,87,No
2,27,1,1,53,53,53,52,52,52,111,111,111,No
2,928,89,16,391,34,24,2181,276,136,1274,239,80,No
2,62,44,10,233,58,23,1152,173,115,1261,457,126,No
2,87,10,2,32,13,16,19,20,10,521,457,261,No
2,52,2,2,4,3,2,1,1,1,521,457,261,No
2,163,9,4,22,6,6,32,12,8,717,238,179,No
2,109,2,1,19,18,19,18,18,18,457,457,457,No
2,139,21,5,230,89,46,317,163,63,734,242,147,No
2,326,37,8,86,6,11,386,77,48,1365,296,171,No
2,648,189,26,1306,199,50,6171,927,237,2123,199,82,No
2,778,167,23,928,92,40,6234,655,271,1631,191,71,No
2,314,39,10,167,78,17,1067,140,107,1230,397,123,No
2,55,6,2,12,6,6,10,5,5,446,234,223,No
2,191,30,8,39,7,5,63,9,8,1027,198,128,No
2,90,15,5,67,19,13,212,51,42,955,329,191,No
2,137,44,13,120,22,9,344,40,26,1271,212,98,No
2,79,25,6,29,4,5,29,7,5,1315,320,219,No
2,82,15,3,78,32,26,52,55,17,824,461,275,No
2,978,277,32,1992,178,62,14358,1467,449,2092,252,65,No
2,467,106,20,485,49,24,4262,373,213,1845,289,92,No
2,189,60,12,177,28,15,799,97,67,1286,205,107,No
2,153,38,13,138,59,11,601,95,46,1286,242,99,No
2,84,13,4,40,18,10,108,27,27,502,232,126,No
2,182,46,10,119,18,12,370,64,37,1494,314,149,No
2,358,153,18,582,79,32,4578,396,254,1651,232,92,No
2,126,58,14,101,8,7,214,32,15,1364,199,97,No
2,106,5,3,33,27,11,82,28,27,837,431,279,No
2,109,19,4,72,13,18,118,42,30,914,329,229,No
2,85,1,1,1,1,1,0,0,0,212,212,212,No
2,236,22,8,183,38,23,818,177,102,977,287,122,No
2,314,22,10,143,35,14,624,98,62,1008,310,101,No
2,694,54,16,380,106,24,3346,342,209,1450,312,91,No
2,89,4,2,8,4,4,6,5,3,577,457,289,Yes
2,301,52,12,255,102,21,-157,74,-13,1225,266,102,No
2,153,31,7,74,16,11,-5,9,-1,1068,266,153,No
2,466,47,9,213,95,24,624,85,69,1082,266,120,No
2,244,28,6,90,14,15,146,54,24,979,266,163,No
2,192,27,3,140,75,47,183,90,61,741,411,247,No
